Id,algebra,programming,data science,robotics,economics,finance,job,salary
62,57,94,63,64,67,81,economist,360000
63,71,76,96,66,91,92,logistics manager,640000
64,69,79,59,80,60,80,junior developer,160000
65,93,98,60,65,94,51,developer,360000
66,77,61,70,84,97,73,data scientist,700000
67,52,51,69,84,97,53,junior developer,110000
68,56,64,90,90,72,77,economist,380000
69,64,55,68,68,95,63,logistics manager,550000
70,57,88,70,70,60,97,robotics engineer,1020000
71,56,81,94,81,75,75,finance director,1370000
72,84,68,61,84,85,69,economist,390000
73,95,74,68,68,60,63,economist,350000
74,97,58,84,64,96,55,logistics manager,500000
75,80,59,56,80,87,58,developer,280000
76,93,89,97,93,92,80,economist,480000
77,77,62,75,73,91,51,economist,360000
78,52,92,97,57,79,65,senior developer,610000
79,73,65,88,70,89,71,junior developer,140000
80,81,60,95,67,96,91,logistics manager,650000
81,83,52,99,98,63,61,junior developer,150000
82,51,64,93,58,59,94,finance director,1080000
83,84,76,54,84,52,98,logistics manager,490000
84,97,82,63,96,62,93,junior developer,200000
85,88,69,66,86,66,71,developer,290000
86,75,65,92,53,86,85,senior developer,470000
87,62,63,71,61,73,94,data scientist,620000
88,95,99,52,67,71,97,senior developer,640000
89,61,68,62,85,61,91,junior developer,120000
90,50,66,81,91,87,80,developer,220000
91,52,83,67,51,70,61,developer,270000
92,56,57,99,75,68,68,developer,260000
93,72,56,82,72,72,81,economist,410000
94,69,96,52,69,69,90,economist,400000
95,54,64,75,58,54,62,senior developer,450000
96,89,99,52,75,72,50,finance director,1030000
97,65,75,99,66,99,56,finance director,1250000
98,88,50,95,55,70,99,logistics manager,540000
99,88,57,64,72,90,57,data scientist,590000
100,88,61,55,58,91,56,junior developer,170000
101,93,88,92,86,97,57,logistics manager,750000
102,58,54,50,67,57,70,finance director,870000
103,92,69,79,85,99,92,data scientist,730000
104,78,69,75,59,62,54,data scientist,710000
105,54,55,93,69,90,62,data scientist,720000
106,68,86,92,57,60,57,logistics manager,570000
107,66,76,92,60,51,94,senior developer,600000
108,77,91,96,98,94,76,economist,470000
109,75,84,88,61,59,81,logistics manager,510000
110,89,52,94,65,96,99,junior developer,130000
111,70,92,93,72,63,57,economist,350000
112,73,52,77,88,79,62,economist,370000
113,73,85,97,74,90,56,developer,330000
114,86,96,77,88,79,82,economist,400000
115,50,51,88,67,61,57,junior developer,120000
116,59,89,96,90,68,69,junior developer,160000
117,65,78,99,80,54,56,senior developer,520000
118,78,51,99,89,92,64,junior developer,130000
119,51,53,56,68,90,88,finance director,1120000
120,69,86,66,96,80,82,developer,300000
121,69,89,55,79,74,67,junior developer,150000
122,57,99,94,94,95,92,finance director,1250000
123,58,51,51,93,52,84,data scientist,610000
124,77,64,67,93,94,75,logistics manager,600000
125,54,51,88,92,52,88,logistics manager,490000
126,84,95,54,72,68,57,finance director,1110000
127,67,72,91,52,95,96,senior developer,550000
128,68,55,75,85,97,84,finance director,1130000
129,79,99,68,58,68,96,data scientist,1060000
130,82,96,97,51,59,73,data scientist,930000
131,94,72,50,64,67,78,junior developer,200000
132,84,86,51,52,72,67,robotics engineer,850000
133,75,66,74,51,82,86,robotics engineer,740000
134,57,80,93,92,82,82,senior developer,620000
135,86,95,80,90,72,70,data scientist,950000
136,50,91,89,59,86,68,robotics engineer,950000
137,89,53,55,59,55,87,logistics manager,450000
138,99,84,61,74,85,57,finance director,1260000
139,56,73,81,74,82,97,finance director,1080000
140,80,87,81,57,52,93,data scientist,790000
141,60,65,87,60,64,89,finance director,1070000
142,80,95,57,82,94,76,data scientist,820000
143,77,95,83,76,55,83,junior developer,180000
144,79,99,87,60,54,51,data scientist,880000
145,83,84,90,86,88,56,junior developer,170000
146,56,98,92,65,75,68,developer,320000
147,67,94,52,69,68,78,developer,350000
148,97,77,69,84,84,91,robotics engineer,1070000
149,83,90,66,69,54,80,economist,370000
150,94,58,81,70,62,60,senior developer,580000
151,77,85,55,85,95,84,economist,460000
152,67,89,92,65,71,70,economist,350000
153,54,86,80,95,95,59,junior developer,160000
154,64,52,56,78,91,82,developer,230000
155,74,51,63,65,99,51,data scientist,670000
156,53,60,99,70,87,81,developer,210000
157,80,52,56,87,56,95,robotics engineer,770000
158,61,67,70,86,75,62,economist,300000
159,85,89,58,71,88,64,finance director,1170000
160,92,76,63,80,91,61,junior developer,160000
161,82,54,68,91,86,77,data scientist,660000
162,79,70,93,80,53,66,junior developer,130000
163,78,59,80,70,50,82,robotics engineer,890000
164,89,87,77,51,60,94,logistics manager,580000
165,60,78,59,88,92,64,economist,340000
166,94,81,98,52,93,94,economist,450000
167,84,69,61,61,79,99,logistics manager,510000
168,97,65,76,96,56,94,developer,320000
169,82,88,65,70,94,89,logistics manager,620000
170,61,54,63,60,84,53,finance director,890000
171,77,59,70,52,79,52,junior developer,130000
172,91,83,76,83,93,70,finance director,1430000
173,75,95,69,64,74,98,economist,450000
174,56,64,67,59,98,89,junior developer,140000
175,55,77,88,92,56,70,economist,300000
176,50,87,88,54,99,74,finance director,1080000
177,84,83,62,58,99,75,developer,360000
178,69,93,74,73,84,87,economist,440000
179,71,91,58,71,50,52,data scientist,860000
180,53,83,62,61,93,67,data scientist,750000
181,76,72,93,79,87,55,developer,280000
182,72,77,60,91,66,69,junior developer,140000
183,53,54,82,67,63,50,junior developer,110000
184,81,77,75,63,87,60,economist,420000
185,76,70,95,67,69,83,finance director,1120000
186,88,88,52,92,52,97,junior developer,160000
187,92,90,70,88,94,86,developer,350000
188,59,99,67,98,90,88,logistics manager,610000
189,78,96,62,76,80,83,senior developer,700000
190,52,77,75,77,82,74,robotics engineer,1000000
191,86,72,55,88,71,83,robotics engineer,920000
192,83,50,86,50,52,97,logistics manager,510000
193,64,90,80,60,71,68,senior developer,650000
194,94,97,74,64,65,60,senior developer,570000
195,65,86,96,96,60,55,logistics manager,600000
196,81,86,88,91,96,67,finance director,1310000
197,56,78,55,68,84,96,finance director,1200000
198,83,53,62,97,95,60,senior developer,470000
199,62,96,61,77,52,50,finance director,1070000
200,91,69,89,90,58,66,junior developer,170000
201,58,62,87,84,78,75,senior developer,560000
202,81,99,67,68,80,61,data scientist,870000
203,97,89,59,82,66,81,robotics engineer,1060000
204,88,94,77,66,68,77,robotics engineer,960000
205,59,85,65,88,91,85,finance director,1180000
206,90,72,59,61,60,75,senior developer,580000
207,96,62,52,79,71,95,robotics engineer,970000
208,90,60,74,80,68,79,senior developer,530000
209,52,73,59,91,51,63,data scientist,750000
210,50,63,80,81,95,68,robotics engineer,990000
211,59,98,87,72,85,65,senior developer,670000
212,97,93,55,50,53,74,developer,430000
213,79,93,57,50,75,68,robotics engineer,810000
214,92,86,56,88,95,97,developer,410000
215,57,57,93,51,68,50,data scientist,610000
216,61,82,56,64,66,76,logistics manager,430000
217,50,84,76,98,52,77,data scientist,880000
218,84,56,84,54,64,86,data scientist,730000
219,72,68,93,54,69,91,logistics manager,590000
220,64,54,90,75,52,57,senior developer,420000
221,62,99,79,71,83,86,junior developer,180000
222,60,60,52,78,96,90,logistics manager,540000
223,77,91,57,89,66,69,junior developer,180000
224,67,80,58,79,65,62,data scientist,710000
225,66,78,80,63,59,98,data scientist,780000
226,93,86,97,77,61,94,developer,340000
227,68,91,74,66,63,51,economist,320000
228,60,87,55,99,99,60,data scientist,830000
229,70,93,69,55,53,64,finance director,1120000
230,66,83,89,56,54,57,finance director,1070000
231,74,59,65,69,89,53,finance director,1020000
232,59,58,75,70,92,79,finance director,1220000
233,78,86,72,85,84,89,junior developer,150000
234,80,92,54,51,54,53,logistics manager,470000
235,51,76,71,77,60,50,robotics engineer,830000
236,92,53,80,97,55,99,logistics manager,560000
237,53,51,99,55,53,94,logistics manager,500000
238,85,90,93,82,73,66,finance director,1360000
239,60,91,59,86,98,76,developer,310000
240,60,85,82,99,55,50,finance director,1150000
241,68,89,54,94,76,80,finance director,1000000
242,91,68,66,97,86,59,finance director,1190000
243,51,59,79,57,97,57,data scientist,670000
244,75,69,86,74,74,97,economist,470000
245,64,70,83,57,53,76,data scientist,680000
246,89,62,75,70,54,82,data scientist,740000
247,91,55,58,73,54,61,logistics manager,490000
248,57,57,66,73,81,81,logistics manager,430000
249,66,70,71,71,78,73,economist,330000
250,60,66,84,70,80,73,junior developer,110000
251,78,70,60,91,55,67,finance director,900000
252,74,64,78,69,66,75,robotics engineer,970000
253,99,73,71,61,64,96,robotics engineer,970000
254,57,90,71,60,56,74,data scientist,930000
255,75,54,91,67,82,92,junior developer,140000
256,76,93,52,99,66,75,robotics engineer,960000
257,78,76,95,69,81,96,robotics engineer,920000
258,61,61,64,99,61,88,developer,240000
259,74,82,90,54,74,85,junior developer,150000
260,83,78,58,67,79,57,logistics manager,590000
261,97,60,72,87,98,67,developer,300000
262,68,89,56,91,69,70,developer,370000
263,98,52,73,84,98,85,economist,420000
264,85,51,51,93,54,81,logistics manager,510000
265,99,72,78,60,62,69,data scientist,720000
266,72,61,59,88,50,80,robotics engineer,790000
267,56,99,75,81,62,91,robotics engineer,1040000
268,90,97,56,53,54,81,junior developer,190000
269,53,89,88,56,61,76,data scientist,830000
270,89,62,78,87,52,59,developer,300000
271,55,67,71,66,88,57,developer,260000
272,95,62,69,89,68,80,robotics engineer,970000
273,57,61,64,72,64,80,finance director,930000
274,72,82,50,69,67,78,economist,330000
275,55,74,90,65,67,88,logistics manager,580000
276,83,89,96,89,65,79,junior developer,150000
277,72,75,83,95,97,66,finance director,1260000
278,65,98,90,87,52,64,senior developer,590000
279,56,53,93,55,57,98,senior developer,470000
280,74,74,55,69,69,76,economist,370000
281,84,98,79,71,54,90,logistics manager,590000
282,84,88,67,58,97,53,junior developer,190000
283,93,64,90,73,65,79,finance director,1110000
284,90,65,71,59,96,86,economist,500000
285,67,58,65,86,71,98,junior developer,140000
286,79,72,81,91,60,62,economist,410000
287,90,81,82,99,55,72,economist,390000
288,67,60,97,90,95,94,robotics engineer,1070000
289,98,76,71,97,54,69,logistics manager,610000
290,51,96,91,93,63,62,logistics manager,630000
291,88,55,51,81,74,57,data scientist,610000
292,86,79,78,87,89,69,finance director,1330000
293,86,94,91,80,56,67,junior developer,180000
294,94,68,66,68,96,77,senior developer,460000
295,96,69,88,55,61,69,robotics engineer,800000
296,75,70,71,89,95,93,senior developer,510000
297,72,82,65,69,76,55,economist,370000
298,65,66,93,89,64,71,developer,250000
299,71,95,60,97,75,98,developer,390000
300,61,53,89,81,76,69,senior developer,500000
301,88,64,93,52,94,50,data scientist,690000
302,74,70,92,71,85,90,robotics engineer,950000
303,68,67,90,51,77,80,data scientist,840000
304,88,96,74,54,94,61,economist,420000
305,52,85,55,68,95,96,junior developer,130000
306,88,76,99,61,76,97,senior developer,530000
307,64,85,88,82,72,69,robotics engineer,1170000
308,55,83,51,66,73,60,logistics manager,470000
309,69,73,54,95,63,60,logistics manager,450000
310,54,84,91,66,96,81,senior developer,600000
311,62,55,51,63,56,78,junior developer,130000
312,54,80,78,53,75,97,logistics manager,430000
313,55,57,96,96,77,55,logistics manager,500000
314,88,54,73,51,99,97,finance director,1320000
315,97,64,94,89,84,62,finance director,1300000
316,53,81,98,57,86,57,logistics manager,540000
317,52,80,85,73,76,83,junior developer,130000
318,61,92,98,99,88,92,robotics engineer,1030000
319,96,72,91,53,80,71,developer,320000
320,76,57,96,55,76,72,junior developer,140000
321,52,59,90,89,61,75,logistics manager,490000
322,55,91,50,56,56,50,senior developer,570000
323,79,53,95,50,99,63,data scientist,640000
324,57,80,91,69,68,97,robotics engineer,1010000
325,91,84,86,50,57,56,data scientist,900000
326,57,60,91,82,65,65,robotics engineer,930000
327,50,92,52,57,68,84,logistics manager,490000
328,59,77,80,57,99,86,robotics engineer,850000
329,98,57,79,74,83,73,robotics engineer,820000
330,56,53,67,96,68,70,senior developer,480000
331,95,67,71,53,66,73,economist,450000
332,50,94,82,86,63,87,economist,320000
333,79,98,80,98,66,55,economist,370000
334,94,71,75,64,76,52,senior developer,510000
335,71,64,73,59,77,96,economist,450000
336,73,67,91,74,81,83,finance director,1360000
337,93,85,80,98,73,96,junior developer,160000
338,65,77,59,63,67,93,senior developer,480000
339,64,83,87,87,95,93,finance director,1180000
340,97,73,54,84,77,61,senior developer,630000
341,81,92,73,76,63,62,logistics manager,640000
342,62,86,73,60,56,67,senior developer,590000
343,85,99,58,74,55,75,data scientist,1040000
344,62,97,69,97,85,76,robotics engineer,1200000
345,66,76,71,79,78,73,senior developer,470000
346,82,72,91,59,95,78,junior developer,180000
347,54,77,57,59,69,71,robotics engineer,860000
348,57,63,92,69,84,76,logistics manager,480000
349,51,51,90,50,51,52,logistics manager,480000
350,93,76,62,76,85,66,developer,370000
351,56,64,54,73,90,88,finance director,1190000
352,79,58,92,97,91,53,logistics manager,690000
353,83,90,89,65,82,74,finance director,1490000
354,93,63,68,68,67,73,developer,320000
355,94,58,93,69,90,79,developer,310000
356,83,77,72,54,87,54,economist,350000
357,75,62,82,58,80,72,economist,380000
358,87,70,66,61,95,96,economist,500000
359,87,81,51,78,71,60,developer,300000
360,87,58,60,79,99,60,economist,410000
361,83,93,74,98,70,64,robotics engineer,1030000
362,83,80,80,91,86,85,logistics manager,700000
363,66,60,68,60,65,76,data scientist,600000
364,76,51,94,69,70,52,logistics manager,480000
365,98,88,92,96,78,98,junior developer,200000
366,63,93,88,52,73,74,data scientist,890000
367,83,56,54,92,60,72,finance director,930000
368,67,96,62,84,55,91,junior developer,170000
369,75,89,56,87,84,84,logistics manager,510000
370,51,56,71,89,69,78,economist,390000
371,84,70,69,54,54,70,developer,290000
372,64,85,58,88,64,74,robotics engineer,1090000
373,55,56,82,62,74,70,logistics manager,450000
374,67,90,92,84,65,87,developer,350000
375,52,69,68,95,50,68,junior developer,140000
376,61,82,50,52,68,78,developer,270000
377,59,61,85,69,69,75,data scientist,690000
378,99,53,86,98,67,86,data scientist,690000
379,58,90,98,83,59,52,junior developer,150000
380,97,65,64,63,82,78,robotics engineer,840000
381,82,85,73,56,77,86,data scientist,880000
382,83,92,94,64,80,91,economist,430000
383,83,88,68,96,81,64,developer,400000
384,66,58,52,56,56,93,data scientist,550000
385,70,68,82,68,57,55,data scientist,780000
386,56,67,92,57,83,50,logistics manager,580000
387,79,98,87,79,56,91,senior developer,660000
388,92,76,72,59,69,81,finance director,1120000
389,59,64,86,95,87,88,data scientist,610000
390,58,79,82,65,98,50,robotics engineer,810000
391,51,56,83,92,77,86,developer,240000
392,69,55,50,57,71,98,economist,380000
393,71,99,73,64,88,59,logistics manager,640000
394,87,65,83,98,61,81,developer,320000
395,73,72,79,91,60,80,economist,420000
396,94,52,89,50,71,76,economist,430000
397,64,52,85,85,56,97,finance director,1320000
398,53,80,85,75,95,84,finance director,1370000
399,93,63,91,65,97,76,senior developer,530000
400,64,60,61,69,96,99,finance director,1010000
401,70,76,80,64,74,60,developer,330000
402,99,85,59,67,76,52,junior developer,180000
403,56,56,90,54,98,62,data scientist,730000
404,71,81,54,80,69,56,junior developer,150000
405,89,52,79,69,67,90,robotics engineer,930000
406,84,55,69,55,87,83,data scientist,670000
407,55,70,71,54,62,91,senior developer,460000
408,76,99,57,78,68,51,logistics manager,590000
409,63,99,75,67,66,54,senior developer,600000
410,94,74,70,88,86,88,data scientist,890000
411,63,65,50,79,86,77,finance director,1120000
412,82,68,89,88,57,99,junior developer,150000
413,60,81,66,61,84,61,developer,310000
414,52,92,62,64,86,94,economist,350000
415,81,59,53,55,92,71,junior developer,160000
416,58,71,93,81,68,94,economist,350000
417,83,62,73,54,56,81,developer,260000
418,80,65,92,94,81,82,data scientist,790000
419,62,81,63,69,70,98,finance director,1130000
420,89,92,86,78,70,62,junior developer,170000
421,89,70,83,72,72,67,logistics manager,520000
422,85,70,50,72,78,62,data scientist,690000
423,61,58,62,93,80,91,developer,260000
424,51,55,69,67,74,58,senior developer,440000
425,87,51,80,66,76,87,developer,290000
426,78,66,56,76,88,69,logistics manager,520000
427,60,80,59,59,81,59,junior developer,150000
428,83,84,82,77,65,86,robotics engineer,950000
429,82,57,53,80,99,59,senior developer,540000
430,87,87,80,90,64,89,finance director,1430000
431,68,74,59,97,57,95,finance director,1130000
432,89,89,56,75,98,85,finance director,1420000
433,91,76,55,54,80,80,finance director,1190000
434,97,66,66,69,90,82,economist,440000
435,57,51,88,83,86,62,senior developer,510000
436,97,92,96,81,67,78,senior developer,650000
437,81,92,71,60,77,85,economist,420000
438,51,92,81,79,67,69,senior developer,570000
439,69,56,92,98,76,79,finance director,1340000
440,81,53,62,90,65,67,finance director,960000
441,71,83,81,71,97,79,junior developer,160000
442,81,71,95,66,77,62,junior developer,170000
443,56,79,75,73,90,88,developer,270000
444,54,88,91,62,67,68,robotics engineer,1020000
445,95,62,90,71,65,51,developer,340000
446,83,76,56,64,69,61,developer,370000
447,74,81,93,78,87,75,data scientist,890000
448,61,71,76,70,88,54,logistics manager,480000
449,79,71,86,60,57,70,developer,300000
450,86,63,76,98,50,63,junior developer,150000
451,72,56,62,90,87,54,junior developer,120000
452,69,91,78,62,59,59,junior developer,180000
453,76,59,81,55,64,78,economist,400000
454,92,98,95,85,61,87,finance director,1450000
455,71,77,52,59,52,60,data scientist,690000
456,59,72,90,62,58,59,finance director,1210000
457,78,73,67,60,95,82,data scientist,770000
458,79,59,87,59,63,74,developer,310000
459,98,72,84,99,82,83,senior developer,580000
460,80,80,70,75,78,53,logistics manager,490000
461,86,93,59,75,81,70,economist,460000
462,72,72,52,62,98,96,finance director,1340000
463,72,76,95,84,97,55,logistics manager,630000
464,69,89,57,65,71,98,finance director,1090000
465,60,64,66,68,75,87,finance director,1190000
466,54,63,67,94,91,55,data scientist,720000
467,78,93,76,60,91,96,robotics engineer,880000
468,81,54,95,80,80,56,economist,410000
469,85,99,65,56,81,92,junior developer,180000
470,82,91,90,52,50,55,senior developer,650000
471,54,52,58,59,97,74,data scientist,490000
472,61,85,70,88,99,82,economist,440000
473,81,62,90,93,96,88,junior developer,150000
474,79,77,66,59,59,55,data scientist,800000
475,92,85,68,67,92,57,data scientist,750000
476,88,66,83,97,97,74,junior developer,150000
477,69,72,97,95,96,74,logistics manager,590000
478,55,97,65,80,80,78,finance director,1130000
479,80,83,59,54,76,51,senior developer,550000
480,59,89,85,72,71,51,finance director,1090000
481,94,72,93,61,65,96,robotics engineer,970000
482,68,59,96,71,75,68,junior developer,140000
483,77,54,53,54,50,51,economist,340000
484,67,96,56,92,58,84,data scientist,810000
485,76,66,79,50,92,90,finance director,1140000
486,91,94,80,74,89,67,robotics engineer,1110000
487,52,63,54,94,98,96,data scientist,660000
488,90,51,81,61,58,99,data scientist,670000
489,97,72,92,82,57,57,economist,420000
490,55,58,59,71,79,84,data scientist,670000
491,96,57,52,87,78,58,data scientist,610000
492,80,81,74,65,64,79,robotics engineer,950000
493,98,93,79,67,97,68,junior developer,210000
494,97,84,96,67,76,89,senior developer,660000
495,86,82,73,86,76,90,economist,430000
496,65,57,78,51,85,88,logistics manager,560000
497,56,72,92,82,76,81,logistics manager,570000
498,67,66,93,86,56,85,junior developer,130000
499,61,64,86,78,90,91,robotics engineer,970000
500,60,86,99,69,56,85,finance director,1250000
501,73,59,63,62,57,80,economist,310000
502,72,90,65,94,83,79,finance director,1050000
503,99,68,82,69,60,96,data scientist,720000
504,96,56,61,96,61,54,senior developer,570000
505,84,71,97,90,55,52,developer,290000
506,68,96,52,97,86,67,senior developer,640000
507,80,68,97,98,63,69,economist,330000
508,64,84,79,57,93,89,finance director,1410000
509,78,67,80,72,53,80,logistics manager,560000
510,80,81,70,78,70,68,economist,330000
511,94,60,56,91,66,76,finance director,1200000
512,61,83,63,51,87,77,finance director,1020000
513,78,84,59,60,56,53,robotics engineer,1020000
514,71,85,66,67,61,64,data scientist,790000
515,94,53,70,60,82,79,junior developer,150000
516,95,78,93,78,78,53,economist,360000
517,82,74,52,97,52,85,economist,360000
518,97,67,88,84,97,82,senior developer,630000
519,73,53,97,83,98,97,finance director,1250000
520,65,59,54,90,83,70,data scientist,550000
521,51,67,51,67,96,67,economist,370000
522,93,85,92,68,96,50,senior developer,660000
523,91,59,69,89,67,57,finance director,1080000
524,96,99,71,51,65,86,robotics engineer,950000
525,81,84,75,90,82,91,logistics manager,680000
526,72,64,70,88,74,71,robotics engineer,1010000
527,50,58,97,71,70,56,finance director,1120000
528,72,75,99,64,51,96,economist,390000
529,70,59,84,59,61,60,finance director,920000
530,76,73,86,72,86,67,finance director,1070000
531,61,87,68,50,92,60,finance director,1150000
532,81,86,73,81,79,75,senior developer,580000
533,65,50,77,53,75,57,economist,320000
534,65,73,83,58,50,67,economist,310000
535,78,92,90,94,88,51,junior developer,170000
536,59,51,60,78,73,69,junior developer,110000
537,92,76,72,72,51,68,logistics manager,570000
538,50,66,81,81,81,93,data scientist,630000
539,95,69,78,69,89,92,senior developer,510000
540,71,68,58,51,73,99,robotics engineer,830000
541,68,52,93,93,85,81,robotics engineer,870000
542,71,95,74,63,80,83,data scientist,770000
543,53,58,68,57,92,54,senior developer,480000
544,66,78,94,72,89,96,logistics manager,630000
545,95,83,90,52,51,50,developer,380000
546,90,73,53,85,59,60,robotics engineer,1070000
547,52,76,61,70,59,69,developer,320000
548,87,94,57,95,76,78,robotics engineer,1230000
549,91,85,74,50,70,81,robotics engineer,930000
550,57,80,85,78,92,73,economist,360000
551,85,64,78,79,63,56,developer,280000
552,96,95,75,58,62,78,finance director,1470000
553,57,97,65,59,63,98,developer,380000
554,80,78,79,99,69,76,finance director,1290000
555,87,85,91,89,75,95,finance director,1510000
556,78,87,90,84,64,64,finance director,1050000
557,56,58,98,78,97,96,developer,250000
558,96,72,68,98,71,76,economist,360000
559,97,53,74,66,64,85,junior developer,150000
560,55,52,76,96,58,82,finance director,930000
561,74,59,90,83,95,72,developer,260000
562,79,51,61,78,89,75,senior developer,390000
563,86,50,82,91,79,74,developer,300000
564,97,86,79,65,54,99,developer,430000
565,89,85,68,71,69,90,finance director,1230000
566,94,77,98,66,63,95,junior developer,200000
567,50,97,73,76,58,68,developer,360000
568,93,87,94,50,90,99,economist,440000
569,51,79,59,64,62,99,robotics engineer,890000
570,53,63,60,52,74,55,senior developer,420000
571,79,83,68,71,93,91,senior developer,570000
572,73,78,94,62,72,67,finance director,1340000
573,91,58,73,87,81,71,economist,400000
574,50,86,66,73,92,56,economist,330000
575,59,78,63,90,66,79,logistics manager,540000
576,68,93,59,60,59,88,logistics manager,540000
577,98,78,58,59,87,91,logistics manager,550000
578,66,63,83,90,85,50,logistics manager,490000
579,88,95,98,95,93,96,junior developer,190000
580,53,57,90,52,52,59,economist,310000
581,57,75,90,90,95,62,data scientist,850000
582,55,79,90,74,86,73,developer,330000
583,74,84,63,97,74,98,logistics manager,640000
584,86,72,96,63,90,71,data scientist,800000
585,58,70,64,60,73,82,economist,360000
586,81,70,51,93,58,69,economist,300000
587,53,85,72,75,74,95,junior developer,130000
588,55,62,82,60,95,99,developer,230000
589,95,59,50,86,53,78,logistics manager,470000
590,72,80,57,62,65,53,junior developer,160000
591,55,67,80,80,73,54,robotics engineer,1020000
592,60,84,73,57,90,55,data scientist,820000
593,52,53,96,54,51,64,junior developer,120000
594,68,65,71,72,67,89,finance director,1000000
595,72,97,77,86,93,67,economist,360000
596,85,60,95,59,99,92,senior developer,470000
597,92,81,77,54,75,75,developer,390000
598,85,56,72,73,53,97,junior developer,130000
599,52,64,81,84,80,72,junior developer,140000
600,98,55,73,52,63,52,logistics manager,440000
601,68,84,57,60,99,90,robotics engineer,790000
602,97,78,65,55,80,83,junior developer,160000
603,81,69,51,97,88,84,data scientist,620000
604,61,83,61,91,85,73,data scientist,730000
605,89,71,68,57,67,83,finance director,1200000
606,98,61,75,76,72,75,logistics manager,600000
607,79,99,76,58,56,94,robotics engineer,1110000
608,65,53,66,83,66,92,data scientist,610000
609,75,66,72,85,83,94,junior developer,130000
610,71,67,73,76,89,92,logistics manager,550000
611,67,77,61,98,81,88,logistics manager,550000
612,56,53,85,60,99,91,junior developer,120000
613,52,70,80,62,84,84,developer,300000
614,62,88,79,58,77,88,economist,350000
615,84,98,80,56,56,57,data scientist,1000000
616,85,62,74,90,59,74,junior developer,130000
617,76,59,89,75,52,86,economist,390000
618,93,54,88,79,96,67,economist,490000
619,99,61,59,83,85,87,robotics engineer,890000
620,98,86,85,55,96,82,logistics manager,670000
621,92,65,54,56,88,76,finance director,1200000
622,62,76,63,99,59,74,junior developer,130000
623,88,93,89,84,69,96,logistics manager,660000
624,78,60,59,83,82,79,senior developer,550000
625,89,58,62,88,62,82,senior developer,510000
626,70,59,76,68,62,64,data scientist,620000
627,56,76,59,65,87,84,logistics manager,560000
628,60,94,65,65,82,50,finance director,1000000
629,99,92,86,50,79,85,robotics engineer,1080000
630,93,82,64,79,93,57,junior developer,200000
631,73,67,57,92,60,79,economist,380000
632,94,58,73,67,54,98,developer,260000
633,92,53,52,52,72,76,developer,250000
634,95,52,88,91,87,73,developer,310000
635,89,50,91,92,50,67,developer,250000
636,56,68,75,87,52,87,logistics manager,430000
